,PLAYER,AGE,COUNTRY,2023 RANK,POINTS
0,Jannik Sinner,23,Italy,4,11010
1,Carlos Alcaraz,21,Spain,2,7010
2,Alexander Zverev,27,Germany,7,6705
3,Novak Djokovic,37,Serbia,1,5560
4,Daniil Medvedev,28,Russian Federation,3,5375
5,Andrey Rublev,26,Russian Federation,5,4700
6,Taylor Fritz,26,United States,10,4060
7,Hubert Hurkacz,27,Poland,9,4060
8,Casper Ruud,25,Norway,11,3965
9,Grigor Dimitrov,33,Bulgaria,14,3840
10,Alex de Minaur,25,Australia,12,3620
11,Stefanos Tsitsipas,26,Greece,6,3390
12,Tommy Paul,27,United States,13,3045
13,Holger Rune,21,Denmark,8,2935
14,Ugo Humbert,26,France,20,2645
15,Ben Shelton,21,-,17,2580
16,Frances Tiafoe,26,United States,16,2560
17,Lorenzo Musetti,22,Italy,27,2425
18,Sebastian Korda,24,United States,24,2380
19,Jack Draper,22,United Kingdom,61,2340
20,Arthur Fils,20,-,36,2250
21,Felix Auger-Aliassime,24,Canada,29,2170
22,Alejandro Tabilo,27,Chile,85,1963
23,Alexei Popyrin,25,Australia,40,1825
24,Karen Khachanov,28,Russian Federation,15,1780
25,Sebastian Baez,23,Argentina,28,1760
26,Alexander Bublik,27,Kazakhstan,32,1690
27,Jordan Thompson,30,Australia,55,1571
28,Nicolas Jarry,28,Chile,19,1555
29,Flavio Cobolli,22,Italy,101,1552
30,Francisco Cerundolo,26,Argentina,21,1550
31,Nuno Borges,27,Portugal,66,1515
32,Tomas Machac,23,Czech Republic,78,1449
33,Jiri Lehecka,22,Czech Republic,31,1400
34,Brandon Nakashima,23,United States,134,1375
35,Matteo Arnaldi,23,Italy,44,1350
36,Tomas Martin Etcheverry,25,Argentina,30,1335
37,Mariano Navone,23,Argentina,125,1328
38,Jan-Lennard Struff,34,Germany,25,1310
39,Tallon Griekspoor,28,Netherlands,23,1305
40,Zhizhen Zhang,27,China,58,1270
41,Luciano Darderi,22,-,128,1265
42,Alex Michelsen,20,-,97,1215
43,Matteo Berrettini,28,Italy,92,1215
44,Pedro Martinez,27,Spain,106,1207
45,Gael Monfils,38,France,74,1160
46,Marcos Giron,31,United States,60,1140
47,Fabian Marozsan,24,Hungary,64,1120
48,Lorenzo Sonego,29,Italy,46,1081
49,Giovanni Mpetshi Perricard,21,France,205,1073
